ticker,beta,alpha_period,alpha_annual,se_alpha,t_alpha,start_date,end_date
MCK,0.38844064082818264,0.02369238580846405,0.28430862970156856,0.008501453219096424,2.78686304539616,2020-12-31,2025-11-30
EME,1.1770485272275915,0.022588117100138257,0.2710574052016591,0.009745763429312401,2.3177370622602864,2020-12-31,2025-11-30
COR,0.6308264329283965,0.017102774787643396,0.20523329745172075,0.007805901183855106,2.191005802509639,2020-12-31,2025-11-30
WMB,0.6177722092288712,0.016711251960614137,0.20053502352736963,0.008153445263093447,2.049593935002861,2020-12-31,2025-11-30
PWR,1.1519190073747254,0.020617783921508787,0.24741340705810544,0.009806169793371493,2.1025318096618553,2020-12-31,2025-11-30
CAH,0.6199906764157488,0.019412393396345255,0.23294872075614306,0.009534202562376103,2.0360793961888852,2020-12-31,2025-11-30
GS,1.358110537129381,0.00896057179979615,0.1075268615975538,0.007437951947999632,1.2047095574751612,2020-12-31,2025-11-30
ANET,1.4280875316116655,0.022710838898930493,0.2725300667871659,0.012122690124755597,1.873415773661736,2020-12-31,2025-11-30
WELL,0.8375961925766028,0.012888855404062762,0.15466626484875315,0.007568333579468233,1.7029977958461444,2020-12-31,2025-11-30
BK,1.117067609851341,0.008379104898896799,0.10054925878676159,0.006855135300332471,1.2223106520582339,2020-12-31,2025-11-30
STX,1.5874015097768748,0.014284174143018028,0.17141008971621635,0.012543081401845822,1.1388090123465189,2020-12-31,2025-11-30
MS,1.2150877821591117,0.00693513923085941,0.08322167077031292,0.007884914158235497,0.8795453053367634,2020-12-31,2025-11-30
KMI,0.6627882856717492,0.009277049440608677,0.11132459328730412,0.007278353011305729,1.274608338754427,2020-12-31,2025-11-30
AXP,1.1389520632882935,0.008139882126505377,0.09767858551806452,0.007658409222982069,1.0628685265444497,2020-12-31,2025-11-30
WDC,1.8130625104654534,0.012953921115031544,0.1554470533803785,0.016157821732024683,0.8017120952236382,2020-12-31,2025-11-30
TPR,1.6600950554118543,0.00932515169821689,0.11190182037860269,0.012469250736364554,0.747851807247856,2020-12-31,2025-11-30
RJF,0.9866754932480913,0.0077129929136536025,0.09255591496384323,0.008233119545927587,0.9368250844200048,2020-12-31,2025-11-30
JCI,1.3927692226334898,0.003511861140284931,0.04214233368341917,0.007435624626497647,0.4723021019337147,2020-12-31,2025-11-30
GILD,0.31501403918270326,0.013598527135059959,0.1631823256207195,0.008849949146416543,1.536565567788169,2020-12-31,2025-11-30
AXON,1.416140290793109,0.016014136211402456,0.19216963453682948,0.01680509236152013,0.9529335434104019,2020-12-31,2025-11-30
EQT,0.6122112966824179,0.023989018250124977,0.2878682190014997,0.01633126045581474,1.4689018226749115,2020-12-31,2025-11-30
WSM,1.5550606260654989,0.010172575598841303,0.12207090718609563,0.01504160704194981,0.6762957954207168,2020-12-31,2025-11-30
NDAQ,1.0195351306698253,0.002576178303731677,0.030914139644780125,0.006763615335141373,0.3808877613643636,2020-12-31,2025-11-30
NI,0.6315103549027169,0.005857686070666173,0.07029223284799407,0.005905241520354113,0.9919469086024634,2020-12-31,2025-11-30
CBRE,1.3340606323585849,0.002656711561127862,0.031880538733534344,0.009246837934818489,0.2873102762106549,2020-12-31,2025-11-30
