ticker,momentum_score_6m
APH,4.0
HII,4.0
NEM,4.0
LHX,4.0
LDOS,3.8624085483446806
STX,3.616230493898497
GEV,3.488898250591499
WDC,3.4096536262314885
DG,3.3402641712153858
HCA,3.328883223467429
EA,3.3145533924386417
GD,3.3056677232571245
MO,3.3020512914752636
PLTR,3.2750786340224374
PWR,3.238475546879461
URI,3.233841467234828
FAST,3.1264033137222014
MLM,3.0282210058070422
ADM,3.0153652030379443
DLTR,3.0027598208292727
EBAY,2.9826207033227723
ALLE,2.959756302900069
MOS,2.9033137678451384
AMD,2.8839811351658744
ULTA,2.875593770082404
GLW,2.8624646184341227
MSFT,2.8449716968317236
AVGO,2.757377740907174
GE,2.736725628258997
TEL,2.7248865335074584
WYNN,2.7161358565547227
NOC,2.635801263071266
RCL,2.6248780143870727
IDXX,2.5931162611308984
CDNS,2.578167362705927
BEN,2.564378376680538
AZO,2.4623697147538435
DHI,2.459641889702211
BA,2.428110865424431
ANET,2.4025866550107677
SCHW,2.3753795800955975
F,2.344502604795416
AXON,2.3316210681678564
FE,2.3315290279486964
ORCL,2.325523882837995
JCI,2.3011502428769397
GOOGL,2.2769246731991206
PTC,2.2746093375313494
SNPS,2.2630716414555865
CHRW,2.2605473724250786
NVDA,2.247318920486789
PHM,2.23435692374561
COR,2.2341351762801613
SRE,2.229776759028226
GOOG,2.2211920937375185
BK,2.2116218582506604
VMC,2.2082638320133956
LVS,2.207932990730087
CTVA,2.1984519354330043
JBL,2.1754766765433637
NFLX,2.153372507225114
HWM,2.1378165494980763
CAT,2.135582104493224
CNP,2.1051149331643733
RTX,2.0913967954991777
TKO,2.0832551041833582
CAH,2.082786823717891
VST,2.080085151594535
HAS,2.0715546361977415
MNST,2.0593390272560983
WRB,2.0519261300021023
GNRC,2.0355011064599315
NRG,1.9990060257008753
FSLR,1.9682112743449476
EW,1.9572700745302656
PODD,1.9505392532623045
RMD,1.9383028535881959
UBER,1.919066563850634
TJX,1.914650671205418
ORLY,1.9101340848794648
IVZ,1.9085677110692476
J,1.9077595200754494
SYF,1.8922356493837333
NTRS,1.8757274265332757
MPC,1.8743844553794877
CCL,1.8723367601141185
ATO,1.871481773774235
C,1.8665418071170936
VRSN,1.846612800215122
HIG,1.8452431745884128
LRCX,1.8266389328915746
MPWR,1.8245014026685134
GM,1.8243188770564926
TT,1.8212345330241715
NSC,1.8210177158846226
EL,1.8138482657775166
VTRS,1.810068999234244
CVS,1.7973359992670597
GS,1.792327669461708
JPM,1.7914761760468245
RF,1.776152220139007
