ticker,observations,last_price,mean_daily_return,var_daily_return,std_daily_return,mean_annual_return,var_annual_return,std_annual_return
MCK,1255,842.0900268554688,0.001344941334608364,0.00021146158022986055,0.014541718613350367,0.33892521632130773,0.05328831821792486,0.23084262651842458
EME,1255,619.8599853515625,0.0018131224000325166,0.0004225543693900604,0.020556127295530652,0.45690684480819416,0.10648370108629522,0.3263184044553651
COR,1255,361.94000244140625,0.0011327898848747684,0.00017514203310564492,0.013234123813295874,0.28546305098844166,0.04413579234262252,0.21008520257891208
WMB,1255,60.9900016784668,0.0012010859884953242,0.00023370065219929003,0.015287270920582588,0.3026736691008217,0.05889256435422109,0.24267790248438584
PWR,1255,429.29998779296875,0.0016966026074448917,0.0004704910868309811,0.021690806504853184,0.4275438570761127,0.11856375388140725,0.344330878489582
CAH,1255,205.3699951171875,0.0012286109500400024,0.00025097138820561203,0.015842076511796425,0.3096099594100806,0.06324478982781423,0.2514851682064257
GS,1255,790.9099731445312,0.0012552892460597016,0.0002987502355869524,0.017284392832464565,0.3163328900070448,0.07528505936791201,0.2743812299846912
ANET,1255,131.3699951171875,0.0020175964144820723,0.0007828953257903306,0.027980266721214984,0.5084342964494822,0.19728962209916331,0.4441729641695489
WELL,1255,193.82000732421875,0.0010778793091149148,0.0002357634954933773,0.015354592000225122,0.2716255858969585,0.05941240086433108,0.24374659149274497
BK,1255,110.4800033569336,0.0010557789521882085,0.00024988721044566704,0.015807821179582817,0.26605629595142855,0.06297157703230809,0.25094138166573504
STX,1255,258.2099914550781,0.0016749525270447403,0.0006420763924827336,0.025339226359199163,0.42208803681527457,0.16180325090564887,0.4022477481672817
MS,1255,163.86000061035156,0.0011152294390546357,0.0003242905788295693,0.018008069825208067,0.2810378186417682,0.08172122586505147,0.2858692460987216
KMI,1255,27.420000076293945,0.0008948478386582414,0.000215117654350716,0.014666889729956927,0.22550165534187683,0.05420964889638043,0.23282965639363992
AXP,1255,357.17999267578125,0.001097397447461801,0.00034067171855140053,0.018457294453722097,0.27654415676037386,0.08584927307495294,0.29300046599784263
WDC,1255,157.8300018310547,0.0016465129347402218,0.0007932244797736537,0.02816424115387549,0.4149212595545359,0.19989256890296073,0.44709346774803227
TPR,1255,101.41000366210938,0.0014650534959326131,0.0006448552836643606,0.02539400093849649,0.36919348097501853,0.16250353148341887,0.4031172676572152
RJF,1255,158.72999572753906,0.001005487807754786,0.00030555442523688567,0.017480115137975656,0.2533829275542061,0.07699971515969518,0.27748822526315453
JCI,1255,118.72000122070312,0.000998248206139992,0.00030128647038364426,0.017357605548682233,0.251558547947278,0.07592419053667836,0.2755434458242082
GILD,1255,125.0199966430664,0.000836669948070579,0.00021997457045470857,0.014831539719621445,0.21084082691378592,0.05543359175458656,0.23544339394976996
AXON,1255,554.3699951171875,0.0016503920447439497,0.0008657000450081633,0.029422781054960854,0.41589879527547535,0.21815641134205715,0.46707216930797446
EQT,1255,59.900001525878906,0.0015888297956233167,0.0008331671329358487,0.028864634640609062,0.4003851084970758,0.2099581174998339,0.45821186966275096
WSM,1255,182.24000549316406,0.0015555763341328068,0.000844576984890966,0.02906160671557865,0.3920052362014673,0.21283340019252342,0.46133870441631436
NDAQ,1255,87.08000183105469,0.0007453141126680137,0.0002116881982458984,0.014549508522486194,0.18781915639233945,0.053345425957966396,0.2309662874922797
NI,1255,42.880001068115234,0.0006619300487983337,0.00016842025504131835,0.012977682961196052,0.1668063722971801,0.04244190427041222,0.20601433025499033
CBRE,1255,153.66000366210938,0.0009220157560843773,0.00034427076434045327,0.01855453487265184,0.2323479705332631,0.08675623261379423,0.29454410979307366
